image_id,dataset_label,image_domain,source,query,clean_path,source_url
jpg,landscape,landscape,wikimedia_commons_category,Desert landscapes,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\jpg.jpg,https://commons.wikimedia.org/wiki/File:%D8%B0%DA%A9%D8%B1%D8%A7_%D8%B4%D9%87%D8%AF%D8%A7%D8%A1_%D8%AD%D8%B1%D8%A8_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82.jpg
Algoma_Gabrielle_Rock_I0012362_jpg,landscape,landscape,wikimedia_commons_category,Landscape photographs,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Algoma_Gabrielle_Rock_I0012362_jpg.jpg,"https://commons.wikimedia.org/wiki/File:Algoma,_Gabrielle_Rock_(I0012362).jpg"
Parasols_Evening_Beach_Rincon_de_la_Victoria_Andalusia_Spain_jpg,landscape,landscape,wikimedia_commons,beach landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Parasols_Evening_Beach_Rincon_de_la_Victoria_Andalusia_Spain_jpg.jpg,"https://commons.wikimedia.org/wiki/File:Parasols,_Evening,_Beach,_Rincon_de_la_Victoria,_Andalusia,_Spain.jpg"
Carl_Spitzweg_1808-1885_-_Mountain_Landscape_-_WA1954_70_164_-_Ashmolean_Museum_,landscape,landscape,wikimedia_existing_raw,existing raw landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Carl_Spitzweg_1808-1885_-_Mountain_Landscape_-_WA1954_70_164_-_Ashmolean_Museum_.jpg,
Castle_Mountain_jpg,landscape,landscape,wikimedia_existing_raw,existing raw landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Castle_Mountain_jpg.jpg,
Gillis_van_Coninxloo_-_Forest_Landscape_-_38_70_-_Detroit_Institute_of_Arts_jpg,landscape,landscape,wikimedia_existing_raw,existing raw landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Gillis_van_Coninxloo_-_Forest_Landscape_-_38_70_-_Detroit_Institute_of_Arts_jpg.jpg,
Gyps_rueppellii_-Nairobi_National_Park_Kenya-8-4c_jpg,landscape,landscape,wikimedia_existing_raw,existing raw landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Gyps_rueppellii_-Nairobi_National_Park_Kenya-8-4c_jpg.jpg,
Pirogue_and_boat_on_the_Mekong_with_colorful_sky_at_sunset_in_Luang_Prabang_Laos,landscape,landscape,wikimedia_existing_raw,existing raw landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Pirogue_and_boat_on_the_Mekong_with_colorful_sky_at_sunset_in_Luang_Prabang_Laos.jpg,
Ruisseau_du_Vialais_-_March_2021_-_B_jpg,landscape,landscape,wikimedia_existing_raw,existing raw landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Ruisseau_du_Vialais_-_March_2021_-_B_jpg.jpg,
Shishkin_Ivan_-_Morning_in_a_Pine_Forest_jpg,landscape,landscape,wikimedia_existing_raw,existing raw landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Shishkin_Ivan_-_Morning_in_a_Pine_Forest_jpg.jpg,
Sunset_by_Caspar_David_Friedrich_jpg,landscape,landscape,wikimedia_existing_raw,existing raw landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Sunset_by_Caspar_David_Friedrich_jpg.jpg,
Wooden_staircase_steps_in_the_forest_of_Hallasan_Park_Eorimok_Trail_at_dusk_on_J,landscape,landscape,wikimedia_commons,forest landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Wooden_staircase_steps_in_the_forest_of_Hallasan_Park_Eorimok_Trail_at_dusk_on_J.jpg,https://commons.wikimedia.org/wiki/File:Wooden_staircase_steps_in_the_forest_of_Hallasan_Park_Eorimok_Trail_at_dusk_on_Jeju_Island_in_South_Korea.jpg
004_Chital_in_Keoladeo_National_Park_Photo_by_Giles_Laurent_jpg,landscape,landscape,wikimedia_commons,national park,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\004_Chital_in_Keoladeo_National_Park_Photo_by_Giles_Laurent_jpg.jpg,https://commons.wikimedia.org/wiki/File:004_Chital_in_Keoladeo_National_Park_Photo_by_Giles_Laurent.jpg
Barn_on_Mastl_mountain_Gherd_ina_jpg,landscape,landscape,wikimedia_existing_raw,existing raw landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Barn_on_Mastl_mountain_Gherd_ina_jpg.jpg,
Beech_Forest_AU_Great_Otway_National_Park_Beauchamp_Falls_--_2019_--_1271_jpg,landscape,landscape,wikimedia_existing_raw,existing raw landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Beech_Forest_AU_Great_Otway_National_Park_Beauchamp_Falls_--_2019_--_1271_jpg.jpg,
