image_id,source,query,source_url,download_url,license,author,width,height,local_path,downloaded_at,image_domain,dataset_label,clean_path,clean_status,clean_reason,mean_intensity,std_intensity
Algoma_Gabrielle_Rock_I0012362_jpg,wikimedia_commons_category,Landscape photographs,"https://commons.wikimedia.org/wiki/File:Algoma,_Gabrielle_Rock_(I0012362).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Algoma%2C_Gabrielle_Rock_%28I0012362%29.jpg/1920px-Algoma%2C_Gabrielle_Rock_%28I0012362%29.jpg,OGL-ON,VNDS,1920,1149,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\Algoma_Gabrielle_Rock_I0012362_jpg.jpg,2026-07-02T06:48:20.219541+00:00,landscape,landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Algoma_Gabrielle_Rock_I0012362_jpg.jpg,accepted,,132.1622,67.8889
jpg,wikimedia_commons_category,Desert landscapes,https://commons.wikimedia.org/wiki/File:%D8%B0%DA%A9%D8%B1%D8%A7_%D8%B4%D9%87%D8%AF%D8%A7%D8%A1_%D8%AD%D8%B1%D8%A8_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2d/%D8%B0%DA%A9%D8%B1%D8%A7_%D8%B4%D9%87%D8%AF%D8%A7%D8%A1_%D8%AD%D8%B1%D8%A8_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82.jpg,CC BY-SA 4.0,Masoumeh Zouhiry,1280,721,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\jpg.jpg,2026-07-02T06:48:25.158414+00:00,landscape,landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\jpg.jpg,accepted,,103.0914,57.1188
Wooden_staircase_steps_in_the_forest_of_Hallasan_Park_Eorimok_Trail_at_dusk_on_J,wikimedia_commons,forest landscape,https://commons.wikimedia.org/wiki/File:Wooden_staircase_steps_in_the_forest_of_Hallasan_Park_Eorimok_Trail_at_dusk_on_Jeju_Island_in_South_Korea.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Wooden_staircase_steps_in_the_forest_of_Hallasan_Park_Eorimok_Trail_at_dusk_on_Jeju_Island_in_South_Korea.jpg/1920px-Wooden_staircase_steps_in_the_forest_of_Hallasan_Park_Eorimok_Trail_at_dusk_on_Jeju_Island_in_South_Korea.jpg,CC BY-SA 4.0,Basile Morin,1920,1297,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\Wooden_staircase_steps_in_the_forest_of_Hallasan_Park_Eorimok_Trail_at_dusk_on_J.jpg,2026-07-02T06:49:15.001459+00:00,landscape,landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Wooden_staircase_steps_in_the_forest_of_Hallasan_Park_Eorimok_Trail_at_dusk_on_J.jpg,accepted,,79.4563,56.9932
Bontecou_Lake_Milky_Way_panorama_jpg,wikimedia_commons,lake landscape,https://commons.wikimedia.org/wiki/File:Bontecou_Lake_Milky_Way_panorama.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Bontecou_Lake_Milky_Way_panorama.jpg/1920px-Bontecou_Lake_Milky_Way_panorama.jpg,CC BY-SA 4.0,Juliancolton,1920,787,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\Bontecou_Lake_Milky_Way_panorama_jpg.jpg,2026-07-02T06:49:19.378830+00:00,landscape,landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Bontecou_Lake_Milky_Way_panorama_jpg.jpg,accepted,,86.2949,45.959
Parasols_Evening_Beach_Rincon_de_la_Victoria_Andalusia_Spain_jpg,wikimedia_commons,beach landscape,"https://commons.wikimedia.org/wiki/File:Parasols,_Evening,_Beach,_Rincon_de_la_Victoria,_Andalusia,_Spain.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Parasols%2C_Evening%2C_Beach%2C_Rincon_de_la_Victoria%2C_Andalusia%2C_Spain.jpg/1920px-Parasols%2C_Evening%2C_Beach%2C_Rincon_de_la_Victoria%2C_Andalusia%2C_Spain.jpg,CC0,Jebulon,1920,1278,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\Parasols_Evening_Beach_Rincon_de_la_Victoria_Andalusia_Spain_jpg.jpg,2026-07-02T06:49:51.076198+00:00,landscape,landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Parasols_Evening_Beach_Rincon_de_la_Victoria_Andalusia_Spain_jpg.jpg,accepted,,133.7445,47.3073
004_Chital_in_Keoladeo_National_Park_Photo_by_Giles_Laurent_jpg,wikimedia_commons,national park,https://commons.wikimedia.org/wiki/File:004_Chital_in_Keoladeo_National_Park_Photo_by_Giles_Laurent.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/004_Chital_in_Keoladeo_National_Park_Photo_by_Giles_Laurent.jpg/1920px-004_Chital_in_Keoladeo_National_Park_Photo_by_Giles_Laurent.jpg,CC BY-SA 4.0,Giles Laurent,1920,1280,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\004_Chital_in_Keoladeo_National_Park_Photo_by_Giles_Laurent_jpg.jpg,2026-07-02T06:50:35.262813+00:00,landscape,landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\004_Chital_in_Keoladeo_National_Park_Photo_by_Giles_Laurent_jpg.jpg,accepted,,113.2413,63.7322
004_Sunrise_at_Serengeti_National_Park_Photo_by_Giles_Laurent_jpg,wikimedia_commons,national park,https://commons.wikimedia.org/wiki/File:004_Sunrise_at_Serengeti_National_Park_Photo_by_Giles_Laurent.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/004_Sunrise_at_Serengeti_National_Park_Photo_by_Giles_Laurent.jpg/1920px-004_Sunrise_at_Serengeti_National_Park_Photo_by_Giles_Laurent.jpg,CC BY-SA 4.0,Giles Laurent,1920,614,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\004_Sunrise_at_Serengeti_National_Park_Photo_by_Giles_Laurent_jpg.jpg,2026-07-02T06:50:39.023269+00:00,landscape,landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\004_Sunrise_at_Serengeti_National_Park_Photo_by_Giles_Laurent_jpg.jpg,accepted,,109.3482,46.1896
Algoma_Gabrielle_Rock_I0012362_jpg_aug_01,local_augmentation,augmentation:Landscape photographs,"https://commons.wikimedia.org/wiki/File:Algoma,_Gabrielle_Rock_(I0012362).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Algoma%2C_Gabrielle_Rock_%28I0012362%29.jpg/1920px-Algoma%2C_Gabrielle_Rock_%28I0012362%29.jpg,OGL-ON,VNDS,1600,1149,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Algoma_Gabrielle_Rock_I0012362_jpg_aug_01.jpg,2026-07-02T06:54:18.247747+00:00,landscape,landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Algoma_Gabrielle_Rock_I0012362_jpg_aug_01.jpg,accepted,deterministic crop/color augmentation from crawled landscape image,130.0967,67.8893
jpg_aug_02,local_augmentation,augmentation:Desert landscapes,https://commons.wikimedia.org/wiki/File:%D8%B0%DA%A9%D8%B1%D8%A7_%D8%B4%D9%87%D8%AF%D8%A7%D8%A1_%D8%AD%D8%B1%D8%A8_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2d/%D8%B0%DA%A9%D8%B1%D8%A7_%D8%B4%D9%87%D8%AF%D8%A7%D8%A1_%D8%AD%D8%B1%D8%A8_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82.jpg,CC BY-SA 4.0,Masoumeh Zouhiry,1280,721,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\jpg_aug_02.jpg,2026-07-02T06:54:18.303709+00:00,landscape,landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\jpg_aug_02.jpg,accepted,deterministic crop/color augmentation from crawled landscape image,118.1724,52.804
Wooden_staircase_steps_in_the_forest_of_Hallasan_Park_Eorimok_Trail_at_dusk_on_J_aug_03,local_augmentation,augmentation:forest landscape,https://commons.wikimedia.org/wiki/File:Wooden_staircase_steps_in_the_forest_of_Hallasan_Park_Eorimok_Trail_at_dusk_on_Jeju_Island_in_South_Korea.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Wooden_staircase_steps_in_the_forest_of_Hallasan_Park_Eorimok_Trail_at_dusk_on_Jeju_Island_in_South_Korea.jpg/1920px-Wooden_staircase_steps_in_the_forest_of_Hallasan_Park_Eorimok_Trail_at_dusk_on_Jeju_Island_in_South_Korea.jpg,CC BY-SA 4.0,Basile Morin,1600,1200,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Wooden_staircase_steps_in_the_forest_of_Hallasan_Park_Eorimok_Trail_at_dusk_on_J_aug_03.jpg,2026-07-02T06:54:18.428217+00:00,landscape,landscape,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\Wooden_staircase_steps_in_the_forest_of_Hallasan_Park_Eorimok_Trail_at_dusk_on_J_aug_03.jpg,accepted,deterministic crop/color augmentation from crawled landscape image,71.1273,50.1521
