image_id,source,query,source_url,download_url,license,author,width,height,local_path,downloaded_at,image_domain,dataset_label
Algoma_Gabrielle_Rock_I0012362_jpg,wikimedia_commons_category,Landscape photographs,"https://commons.wikimedia.org/wiki/File:Algoma,_Gabrielle_Rock_(I0012362).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Algoma%2C_Gabrielle_Rock_%28I0012362%29.jpg/1920px-Algoma%2C_Gabrielle_Rock_%28I0012362%29.jpg,OGL-ON,VNDS,6160,3686,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\Algoma_Gabrielle_Rock_I0012362_jpg.jpg,2026-07-02T06:48:20.219541+00:00,landscape,landscape
jpg,wikimedia_commons_category,Desert landscapes,https://commons.wikimedia.org/wiki/File:%D8%B0%DA%A9%D8%B1%D8%A7_%D8%B4%D9%87%D8%AF%D8%A7%D8%A1_%D8%AD%D8%B1%D8%A8_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2d/%D8%B0%DA%A9%D8%B1%D8%A7_%D8%B4%D9%87%D8%AF%D8%A7%D8%A1_%D8%AD%D8%B1%D8%A8_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82.jpg,CC BY-SA 4.0,Masoumeh Zouhiry,1280,721,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\jpg.jpg,2026-07-02T06:48:25.158414+00:00,landscape,landscape
Wooden_staircase_steps_in_the_forest_of_Hallasan_Park_Eorimok_Trail_at_dusk_on_J,wikimedia_commons,forest landscape,https://commons.wikimedia.org/wiki/File:Wooden_staircase_steps_in_the_forest_of_Hallasan_Park_Eorimok_Trail_at_dusk_on_Jeju_Island_in_South_Korea.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Wooden_staircase_steps_in_the_forest_of_Hallasan_Park_Eorimok_Trail_at_dusk_on_Jeju_Island_in_South_Korea.jpg/1920px-Wooden_staircase_steps_in_the_forest_of_Hallasan_Park_Eorimok_Trail_at_dusk_on_Jeju_Island_in_South_Korea.jpg,CC BY-SA 4.0,Basile Morin,6392,4319,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\Wooden_staircase_steps_in_the_forest_of_Hallasan_Park_Eorimok_Trail_at_dusk_on_J.jpg,2026-07-02T06:49:15.001459+00:00,landscape,landscape
Bontecou_Lake_Milky_Way_panorama_jpg,wikimedia_commons,lake landscape,https://commons.wikimedia.org/wiki/File:Bontecou_Lake_Milky_Way_panorama.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Bontecou_Lake_Milky_Way_panorama.jpg/1920px-Bontecou_Lake_Milky_Way_panorama.jpg,CC BY-SA 4.0,Juliancolton,9640,3949,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\Bontecou_Lake_Milky_Way_panorama_jpg.jpg,2026-07-02T06:49:19.378830+00:00,landscape,landscape
Parasols_Evening_Beach_Rincon_de_la_Victoria_Andalusia_Spain_jpg,wikimedia_commons,beach landscape,"https://commons.wikimedia.org/wiki/File:Parasols,_Evening,_Beach,_Rincon_de_la_Victoria,_Andalusia,_Spain.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Parasols%2C_Evening%2C_Beach%2C_Rincon_de_la_Victoria%2C_Andalusia%2C_Spain.jpg/1920px-Parasols%2C_Evening%2C_Beach%2C_Rincon_de_la_Victoria%2C_Andalusia%2C_Spain.jpg,CC0,Jebulon,4592,3056,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\Parasols_Evening_Beach_Rincon_de_la_Victoria_Andalusia_Spain_jpg.jpg,2026-07-02T06:49:51.076198+00:00,landscape,landscape
004_Chital_in_Keoladeo_National_Park_Photo_by_Giles_Laurent_jpg,wikimedia_commons,national park,https://commons.wikimedia.org/wiki/File:004_Chital_in_Keoladeo_National_Park_Photo_by_Giles_Laurent.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/004_Chital_in_Keoladeo_National_Park_Photo_by_Giles_Laurent.jpg/1920px-004_Chital_in_Keoladeo_National_Park_Photo_by_Giles_Laurent.jpg,CC BY-SA 4.0,Giles Laurent,8640,5760,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\004_Chital_in_Keoladeo_National_Park_Photo_by_Giles_Laurent_jpg.jpg,2026-07-02T06:50:35.262813+00:00,landscape,landscape
004_Sunrise_at_Serengeti_National_Park_Photo_by_Giles_Laurent_jpg,wikimedia_commons,national park,https://commons.wikimedia.org/wiki/File:004_Sunrise_at_Serengeti_National_Park_Photo_by_Giles_Laurent.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/004_Sunrise_at_Serengeti_National_Park_Photo_by_Giles_Laurent.jpg/1920px-004_Sunrise_at_Serengeti_National_Park_Photo_by_Giles_Laurent.jpg,CC BY-SA 4.0,Giles Laurent,22524,7200,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\004_Sunrise_at_Serengeti_National_Park_Photo_by_Giles_Laurent_jpg.jpg,2026-07-02T06:50:39.023269+00:00,landscape,landscape
Barn_on_Mastl_mountain_Gherd_ina_jpg,wikimedia_existing_raw,existing raw landscape,,,See original Wikimedia source if available,,,,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\Barn_on_Mastl_mountain_Gherd_ina_jpg.jpg,2026-07-09T00:57:20.724646+00:00,landscape,landscape
Beech_Forest_AU_Great_Otway_National_Park_Beauchamp_Falls_--_2019_--_1271_jpg,wikimedia_existing_raw,existing raw landscape,,,See original Wikimedia source if available,,,,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\Beech_Forest_AU_Great_Otway_National_Park_Beauchamp_Falls_--_2019_--_1271_jpg.jpg,2026-07-09T00:57:20.725274+00:00,landscape,landscape
Blue_Mountains_National_Park_AU_Three_Sisters_--_2019_--_1987-9_jpg,wikimedia_existing_raw,existing raw landscape,,,See original Wikimedia source if available,,,,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\raw\api\Blue_Mountains_National_Park_AU_Three_Sisters_--_2019_--_1987-9_jpg.jpg,2026-07-09T00:57:20.725737+00:00,landscape,landscape
