image_id,image_path,image_domain,dataset_label,k,color_space,max_side,use_xy,xy_weight,random_state,iterations,inertia,inertia_per_pixel,silhouette_sample,davies_bouldin_sample,calinski_harabasz_sample,cluster_balance,ranking_score,output_segmented,output_comparison,output_labels,output_model
jpg,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\jpg.jpg,landscape,landscape,2,rgb,128,False,0.1,42,7,27606377.723172948,2995.4836939206757,0.5853147684077646,0.5908877052414195,2297.961423752208,0.5963970206131993,2.2096953940379556,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\reports\figures\jpg_k2_rgb_color_segmented.png,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\reports\figures\jpg_k2_rgb_color_comparison.png,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\labels\jpg_k2_rgb_color_labels.npy,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\models\jpg_k2_rgb_color_kmeans_model.npz
jpg,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\jpg.jpg,landscape,landscape,3,rgb,128,False,0.1,42,17,22013119.33374981,2388.576316596116,0.428754947823532,0.7802014460450911,1570.1252441794024,0.37160062160062163,2.75773301220294,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\reports\figures\jpg_k3_rgb_color_segmented.png,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\reports\figures\jpg_k3_rgb_color_comparison.png,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\labels\jpg_k3_rgb_color_labels.npy,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\models\jpg_k3_rgb_color_kmeans_model.npz
jpg,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\jpg.jpg,landscape,landscape,4,rgb,128,False,0.1,42,11,11398847.719192619,1236.8541361971156,0.501192301627117,0.7226424072061753,2442.9642629157806,0.3330864197530864,2.6004771482427884,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\reports\figures\jpg_k4_rgb_color_segmented.png,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\reports\figures\jpg_k4_rgb_color_comparison.png,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\labels\jpg_k4_rgb_color_labels.npy,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\models\jpg_k4_rgb_color_kmeans_model.npz
jpg,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\jpg.jpg,landscape,landscape,5,rgb,128,False,0.1,42,92,10573002.023073912,1147.2441431286798,0.5154013429016051,0.7201751592841538,2015.147191345809,0.05009823182711198,2.8592745068053755,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\reports\figures\jpg_k5_rgb_color_segmented.png,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\reports\figures\jpg_k5_rgb_color_comparison.png,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\labels\jpg_k5_rgb_color_labels.npy,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\models\jpg_k5_rgb_color_kmeans_model.npz
jpg,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\jpg.jpg,landscape,landscape,6,rgb,128,False,0.1,42,22,8604476.602951115,933.6454647299387,0.45862326441404444,0.7604003227436692,2040.212909045034,0.05689215963770167,2.928901626219319,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\reports\figures\jpg_k6_rgb_color_segmented.png,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\reports\figures\jpg_k6_rgb_color_comparison.png,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\labels\jpg_k6_rgb_color_labels.npy,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\models\jpg_k6_rgb_color_kmeans_model.npz
jpg,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\jpg.jpg,landscape,landscape,7,rgb,128,False,0.1,42,47,6614991.355453271,717.7724995066484,0.47874599471209855,0.7423013239394691,2269.0534268525457,0.05645398412231697,2.864855834633357,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\reports\figures\jpg_k7_rgb_color_segmented.png,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\reports\figures\jpg_k7_rgb_color_comparison.png,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\labels\jpg_k7_rgb_color_labels.npy,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\models\jpg_k7_rgb_color_kmeans_model.npz
jpg,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\jpg.jpg,landscape,landscape,8,rgb,128,False,0.1,42,34,5512381.562445088,598.131679952809,0.43779261899014105,0.7524676522111167,2317.731802906096,0.07049608355091384,2.883727090363265,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\reports\figures\jpg_k8_rgb_color_segmented.png,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\reports\figures\jpg_k8_rgb_color_comparison.png,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\labels\jpg_k8_rgb_color_labels.npy,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\models\jpg_k8_rgb_color_kmeans_model.npz
jpg,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\jpg.jpg,landscape,landscape,9,rgb,128,False,0.1,42,33,4665418.114484646,506.2302641584903,0.42502126871338086,0.7527834612748738,2378.7097848891954,0.07137490608564989,2.8792837935183515,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\reports\figures\jpg_k9_rgb_color_segmented.png,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\reports\figures\jpg_k9_rgb_color_comparison.png,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\labels\jpg_k9_rgb_color_labels.npy,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\models\jpg_k9_rgb_color_kmeans_model.npz
jpg,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\jpg.jpg,landscape,landscape,10,rgb,128,False,0.1,42,31,4063904.50937922,440.9618608267383,0.40698887446075427,0.771665242936584,2448.708595509417,0.08655188459748721,2.887246842941581,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\reports\figures\jpg_k10_rgb_color_segmented.png,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\reports\figures\jpg_k10_rgb_color_comparison.png,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\labels\jpg_k10_rgb_color_labels.npy,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\models\jpg_k10_rgb_color_kmeans_model.npz
jpg,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\clean\jpg.jpg,landscape,landscape,2,rgb,128,True,0.1,42,8,28390271.60939997,3080.541624283851,0.5763277471375339,0.6069368006857473,2242.948284931379,0.5963970206131993,2.237530560746061,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\reports\figures\jpg_k2_rgb_xy_segmented.png,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\reports\figures\jpg_k2_rgb_xy_comparison.png,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\data\labels\jpg_k2_rgb_xy_labels.npy,C:\Users\User\OneDrive - ut.edu.vn\Documents\Machine Learning - Trường\kmeans_image_segmentation\models\jpg_k2_rgb_xy_kmeans_model.npz
